4947,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0039 0039,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
4948,043 CEMENTERIO MUNICIPAL                    ,N,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4948,117 CEMENTERIO PLANILLA                     ,S,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4949,048 CERRETTI                                ,N,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4950,014 UNIDAD DE FORTALECIMIENTO FAMILIAR      ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4952,047 CERRETTI ..( JEFES )                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4953,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4955,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4956,043 CEMENTERIO MUNICIPAL                    ,N,Turno: 11 a 17                ,LU 0011 0017,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4956,117 CEMENTERIO PLANILLA                     ,S,Turno: 11 a 17                ,LU 0011 0017,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4958,048 CERRETTI                                ,N,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4962,025 C.A. Nº 1 MSTRO RIVADAVIA               ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,VI 0008 0016,   0000 0000,   0000 0000,   0000 0000
4962,143 C.A Nº 30 LOS PINOS                     ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0018,MI 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4964,049 C.A Nº 20 MOVILES                       ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
4965,010 DELEGACION R.CALZADA                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4969,048 CERRETTI                                ,F,Turno: 19 a 7                 ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0019 0007,DO 0019 0007,FE 0019 0007
4971,006 DELEGACION S. F. SOLANO                 ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4975,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,VI 0008 0014,SA 0010 0022,   0000 0000,   0000 0000
4976,036 C. MUNC. N*18 DE DIAG.Y PREV            ,S,Turno: 9 a 15                 ,LU 0009 0015,MA 0009 0015,   0000 0000,JU 0009 0015,VI 0039 0039,   0000 0000,   0000 0000,   0000 0000
4978,046 - ESPACIOS   VERDES-                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4980,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4981,057 C. A.  Nº  14 GLEW I                    ,S,Turno: 08 a 14                ,LU 0008 0016,MA 0008 0016,MI 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4983,042 VIALIDAD                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4984,036 C. MUNC. N*18 DE DIAG.Y PREV            ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4985,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 14 a 20                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0014 0022,DO 0016 0023,   0000 0000
4987,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4990,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4994,023 C. A. Nº 6 LOS ALAMOS                   ,S,Turno: Rotativo               ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4995,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4997,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 9 a 15                 ,LU 0009 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
4999,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5001,048 CERRETTI                                ,N,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5002,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0010,MA 0008 0015,MI 0008 1530,JU 0039 0039,VI 0008 1530,   0000 0000,   0000 0000,   0000 0000
5008,112 C.A. Nº 22  LOMA VERDE                  ,S,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5012,168 CTRO.FORM.PROF.E INNOVACION             ,S,Turno: 08 a 14                ,LU 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5013,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 08 a 14                ,LU 0006 0012,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5015,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5021,077 DIRECCION DE DEPORTES                   ,S,Turno: 12 a 18                ,LU 0012 0018,MA 0012 0018,MI 0012 0023,   0000 0000,VI 0011 0018,   0000 0000,   0000 0000,   0000 0000
5026,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5027,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5029,057 C. A.  Nº  14 GLEW I                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5031,046 - ESPACIOS   VERDES-                    ,S,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5032,046 - ESPACIOS   VERDES-                    ,S,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5034,048 CERRETTI                                ,N,Turno: 8 a 12 (4 Horas)       ,LU 0008 0011,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5035,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 9 a 15                 ,LU 0009 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5036,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5037,048 CERRETTI                                ,F,Turno: 7 a 13                 ,LU 0730 1330,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5038,010 DELEGACION R.CALZADA                    ,S,Turno: 10 a 16                ,LU 0010 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5039,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5041,048 CERRETTI                                ,N,Turno: 14 a 20                ,LU 0014 0020,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5044,014 UNIDAD DE FORTALECIMIENTO FAMILIAR      ,S,Turno: Rotativo               ,LU 0009 0015,MA 0009 0015,MI 0012 0016,JU 1030 0016,VI 0008 1630,   0000 0000,   0000 0000,   0000 0000
5045,088 C. A. Nº 17  SAN AGUSTIN                ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5046,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5047,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5048,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5057,048 CERRETTI                                ,F,Turno: 10 a 16                ,LU 0010 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5122,006 DELEGACION S. F. SOLANO                 ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5130,131 CTRO. ATENCION AL VECINO                ,S,Turno: 13 a 19                ,LU 0013 0019,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5131,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5132,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5133,000 CASA MUNICIPAL                          ,F,Turno: 7 a 13                 ,LU 0730 1330,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5134,042 VIALIDAD                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5143,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5144,048 CERRETTI                                ,F,Turno: 08 a 14                ,   0008 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5160,108 CTRO.ASIST.JUAN D.PERON N21             ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5160,029 C. A. Nº 7  - 13 DE JULIO               ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0014,MI 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5167,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5168,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5176,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5177,025 C.A. Nº 1 MSTRO RIVADAVIA               ,S,Turno: 08 a 14                ,LU 0008 1530,   0000 0000,   0000 0000,JU 0008 1530,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5177,104 C.A. Nº  13  BURZACO                    ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0016,MI 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5177,029 C. A. Nº 7  - 13 DE JULIO               ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,JU 0008 1530,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5179,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 8:30 A 14:30           ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0013 0019,   0000 0000,   0000 0000,   0000 0000
5181,036 C. MUNC. N*18 DE DIAG.Y PREV            ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5182,003 DELEGACION MTRO. RIVADAVIA              ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5183,105 EDIFICIO  TOLL                          ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5184,004 DELEGACION GLEW                         ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5186,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5187,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5188,050 EREZCANO                                ,N,Turno: 9 a 15                 ,LU 0009 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5190,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5200,008 DELEGACION SAN JOSE                     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5203,042 VIALIDAD                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5204,057 C. A.  Nº  14 GLEW I                    ,S,Turno: 12 a 18                ,LU 0012 0018,MA 0012 0018,MI 0012 0018,JU 0012 0018,VI 0012 0018,   0000 0000,   0000 0000,   0000 0000
5206,048 CERRETTI                                ,F,Turno: 08 a 14                ,   0008 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5208,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5210,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5211,048 CERRETTI                                ,N,Turno: 8:30 A 14:30           ,LU 0830 1430,MA 0830 1430,MI 0830 1430,JU 0830 1430,VI 0830 1430,   0000 0000,   0000 0000,   0000 0000
5212,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5220,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5221,042 VIALIDAD                                ,N,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5223,043 CEMENTERIO MUNICIPAL                    ,N,Turno: 7 a 13                 ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5223,117 CEMENTERIO PLANILLA                     ,S,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5224,048 CERRETTI                                ,N,Turno: 7 a 19 (12 X 24)       ,LU 0007 0019,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5231,002 DELEGACION LONGCHAMPS                   ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5233,042 VIALIDAD                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5234,104 C.A. Nº  13  BURZACO                    ,S,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5236,102 C. A. Nº 12 - DON ORIONE                ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5236,033 C. A. Nº 3   BARRIO LINDO               ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,JU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5236,024 C. A.Nº 4  SAN JOSE                     ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,MI 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5236,125 C.A. 23 GLEW SUR                        ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5237,017 C.ANº19 C.SAN.ANIMAL Y ZOONOSIS         ,F,Turno: 9 a 15                 ,LU 0009 0014,MA 0009 0014,MI 0009 0014,JU 0009 0014,VI 0009 0013,   0000 0000,   0000 0000,   0000 0000
5240,074 MUSEO Y ARCHIVO HISTORICO (CUCARACHA)   ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5245,048 CERRETTI                                ,F,Turno: 7 a 13                 ,LU 0730 1330,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5247,103 C. A. Nº 8  EL ENCUENTRO                ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,MI 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5247,038 EDIFICIO SALUD                          ,S,Turno: Rotativo               ,LU 0012 0018,   0000 0000,   0000 0000,JU 0008 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5251,036 C. MUNC. N*18 DE DIAG.Y PREV            ,S,Turno: 08 a 14                ,LU 0009 0014,MA 0009 0014,   0000 0000,   0000 0000,VI 0013 0016,   0000 0000,   0000 0000,   0000 0000
5253,000 CASA MUNICIPAL                          ,N,Turno: 13 a 19                ,LU 0013 0019,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5258,102 C. A. Nº 12 - DON ORIONE                ,S,Turno: Rotativo               ,LU 0014 0020,   0000 0000,MI 0008 0014,JU 0009 0020,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5261,136 C.A.N 25 2 DE ABRIL                     ,S,Turno: 08 a 14                ,LU 0008 0018,   0000 0000,   0000 0000,JU 0008 0018,VI 0008 0012,   0000 0000,   0000 0000,   0000 0000
5264,027 C. A. Nº16 - R.CALZADA.                 ,S,Turno: 08 a 14                ,LU 0008 1330,MA 0008 0015,MI 0013 0018,   0000 0000,VI 0008 1430,   0000 0000,   0000 0000,   0000 0000
5266,049 C.A Nº 20 MOVILES                       ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0014,MI 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5266,108 CTRO.ASIST.JUAN D.PERON N21             ,S,Turno: 14 a 20                ,LU 0013 0019,   0000 0000,MI 0014 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5268,112 C.A. Nº 22  LOMA VERDE                  ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5268,021 C.A. Nº 5  RAYO DE SOL                  ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,MI 0008 0016,JU 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5270,102 C. A. Nº 12 - DON ORIONE                ,S,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0017,   0000 0000,JU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5272,038 EDIFICIO SALUD                          ,S,Turno: 12 a 18                ,LU 0012 0018,MA 0012 0018,   0000 0000,JU 0008 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5273,102 C. A. Nº 12 - DON ORIONE                ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0016,MI 0008 0016,JU 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5276,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5277,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5278,048 CERRETTI                                ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5279,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5280,102 C. A. Nº 12 - DON ORIONE                ,S,Turno: Rotativo               ,   0000 0000,MA 0012 0015,MI 0830 1130,   0006 0000,   0000 0006,   0000 0000,   0000 0000,   0000 0000
5282,036 C. MUNC. N*18 DE DIAG.Y PREV            ,S,Turno: 8:30 A 14:30           ,LU 0830 1430,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5283,047 CERRETTI ..( JEFES )                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5285,024 C. A.Nº 4  SAN JOSE                     ,S,Turno: 12 a 18                ,LU 0012 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5286,027 C. A. Nº16 - R.CALZADA.                 ,S,Turno: 9 a 15                 ,LU 0009 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5288,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5289,137 C.A Nº -27 TEA-                         ,S,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5290,041 BIBLIOTECA                              ,S,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5292,027 C. A. Nº16 - R.CALZADA.                 ,S,Turno: 10 a 16                ,LU 0010 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5293,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 14 a 20                ,LU 0016 0022,MA 0016 0022,MI 0016 0022,JU 0016 0022,VI 0016 0022,   0000 0000,   0000 0000,   0000 0000
5295,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5296,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5298,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5300,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 14 a 20                ,LU 0016 0022,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5301,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5302,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5303,048 CERRETTI                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5305,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5308,073 C. A. Nº10 - 28 DE DICIEMBRE.           ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5309,005 DELEGACION CLAYPOLE                     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5310,021 C.A. Nº 5  RAYO DE SOL                  ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5312,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 14 a 20                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0012 0022,DO 0017 0022,   0000 0000
